Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK,Rookie Season
1,Caron Butler,MIA,23,49,17,32,1804.5,681,241,608,39.6,12,44,27.3,187,228,82.0,103,162,265,130,107,86,17,140,1396,3,0,-128,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
2,Amar'e Stoudemire,PHX,20,50,29,21,1562.1,640,220,489,45.0,1,5,20.0,199,295,67.5,169,287,456,42,110,38,45,166,1389,18,0,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
3,Yao Ming,HOU,22,48,26,22,1330.1,622,227,429,52.9,0,0,0.0,168,217,77.4,116,273,389,76,94,15,95,136,1439,16,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
4,Drew Gooden,ORL,21,47,13,34,1258.6,586,244,547,44.6,12,41,29.3,86,124,69.4,102,179,281,63,100,37,21,114,1092,5,0,-153,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
5,Dajuan Wagner,CLE,20,35,7,28,1081.1,507,182,489,37.2,46,146,31.5,97,126,77.0,17,39,56,99,63,34,5,83,777,1,0,-162,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
6,Nene,DEN,20,48,12,36,1351.8,465,179,354,50.6,0,3,0.0,107,186,57.5,127,167,294,94,108,86,36,168,1217,5,0,-136,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
7,Jay Williams,CHI,21,42,13,29,1207.7,387,149,399,37.3,36,128,28.1,53,93,57.0,15,107,122,223,105,58,10,116,967,3,1,-232,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
8,Casey Jacobsen,PHX,22,48,27,21,838.3,292,96,248,38.7,44,134,32.8,56,84,66.7,20,34,54,49,37,22,6,68,477,0,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
9,Mike Dunleavy,GSW,22,48,21,27,666.7,229,81,206,39.3,28,76,36.8,39,51,76.5,30,65,95,52,45,26,11,65,487,0,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
10,Nikoloz Tskitishvili,DEN,20,48,11,37,672.3,160,60,194,30.9,21,84,25.0,19,30,63.3,34,68,102,43,47,18,16,65,402,0,0,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
11,Kareem Rush,LAL,22,42,22,20,481.7,127,54,144,37.5,12,39,30.8,7,10,70.0,13,40,53,42,38,7,6,41,255,0,0,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
12,Juan Dixon,WAS,24,16,8,8,210.4,98,36,93,38.7,7,24,29.2,19,22,86.4,4,25,29,15,16,12,1,21,178,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03
